filename, language, XML, YAML, JavaScript, JSON, HTML, Dockerfile, CSS, comment, blank, total
Dockerfile, Dockerfile, 0, 0, 0, 0, 0, 3, 0, 9, 2, 14
admin pannel visitors.jmx, XML, 308, 0, 0, 0, 0, 0, 0, 0, 1, 309
backend\.eslintrc.json, JSON, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
backend\config\custom-environment-variables.json, JSON, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
backend\config\default.json, JSON, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
backend\config\docker.json, JSON, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
backend\config\test.json, JSON, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
backend\demo\css\demo.css, CSS, 0, 0, 0, 0, 0, 0, 83, 0, 19, 102
backend\demo\js\demo.js, JavaScript, 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
backend\demo\js\flot-charts\bar.js, JavaScript, 0, 0, 76, 0, 0, 0, 0, 3, 5, 84
backend\demo\js\flot-charts\chart-tooltips.js, JavaScript, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
backend\demo\js\flot-charts\curved-line.js, JavaScript, 0, 0, 212, 0, 0, 0, 0, 12, 28, 252
backend\demo\js\flot-charts\dynamic.js, JavaScript, 0, 0, 85, 0, 0, 0, 0, 5, 14, 104
backend\demo\js\flot-charts\line.js, JavaScript, 0, 0, 68, 0, 0, 0, 0, 3, 7, 78
backend\demo\js\flot-charts\pie.js, JavaScript, 0, 0, 51, 0, 0, 0, 0, 3, 3, 57
backend\demo\js\jqvmap.js, JavaScript, 0, 0, 20, 0, 0, 0, 0, 1, 2, 23
backend\demo\js\other-charts.js, JavaScript, 0, 0, 116, 0, 0, 0, 0, 14, 12, 142
backend\index.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 6, 7, 39
backend\lib\files.js, JavaScript, 0, 0, 5, 0, 0, 0, 0, 13, 0, 18
backend\lib\user.js, JavaScript, 0, 0, 6, 0, 0, 0, 0, 11, 4, 21
backend\middleware\auth.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
backend\middleware\authView.js, JavaScript, 0, 0, 31, 0, 0, 0, 0, 4, 6, 41
backend\middleware\error.js, JavaScript, 0, 0, 5, 0, 0, 0, 0, 8, 1, 14
