Date : 2019-11-13 16:03:12
Directory : c:\Projects\admin-panel
Total : 184 files,  57559 codes, 3879 comments, 9708 blanks, all 71146 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         73 |     38,095 |      2,516 |      8,371 |     48,982 |
| JSON       |          7 |      9,336 |          0 |          2 |      9,338 |
| JavaScript |         80 |      5,739 |      1,297 |      1,149 |      8,185 |
| XML        |          6 |      2,803 |          0 |          1 |      2,804 |
| CSS        |         15 |      1,531 |         55 |        181 |      1,767 |
| YAML       |          2 |         52 |          2 |          2 |         56 |
| Dockerfile |          1 |          3 |          9 |          2 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        184 |     57,559 |      3,879 |      9,708 |     71,146 |
| frontend                                                                                                   |        142 |     46,416 |      3,538 |      9,482 |     59,436 |
| backend                                                                                                    |         37 |     10,763 |        310 |        218 |     11,291 |
| frontend\vendors                                                                                           |         52 |      5,063 |        962 |      1,004 |      7,029 |
| frontend\vendors\bower_components                                                                          |         51 |      5,061 |        960 |      1,003 |      7,024 |
| frontend\vendors\bower_components\flot                                                                     |          3 |      2,793 |        554 |        703 |      4,050 |
| frontend\fonts\roboto                                                                                      |          4 |      2,448 |          0 |          0 |      2,448 |
| frontend\fonts                                                                                             |          4 |      2,448 |          0 |          0 |      2,448 |
| frontend\layout                                                                                            |         15 |        959 |          9 |        127 |      1,095 |
| frontend\layout\main                                                                                       |         10 |        818 |          6 |        115 |        939 |
| backend\demo                                                                                               |         10 |        746 |         45 |         99 |        890 |
| frontend\demo                                                                                              |         10 |        746 |         45 |         99 |        890 |
| frontend\vendors\bower_components\jquery.scrollbar                                                         |          2 |        746 |         37 |        138 |        921 |
| backend\demo\js                                                                                            |          9 |        663 |         45 |         80 |        788 |
| frontend\demo\js                                                                                           |          9 |        663 |         45 |         80 |        788 |
| backend\demo\js\flot-charts                                                                                |          6 |        508 |         27 |         61 |        596 |
| frontend\demo\js\flot-charts                                                                               |          6 |        508 |         27 |         61 |        596 |
| frontend\vendors\bower_components\dropzone\dist                                                            |          2 |        385 |          4 |          2 |        391 |
| frontend\vendors\bower_components\dropzone                                                                 |          2 |        385 |          4 |          2 |        391 |
| backend\routes                                                                                             |          2 |        276 |        140 |         54 |        470 |
| frontend\vendors\bower_components\flot.curvedlines                                                         |          1 |        274 |        134 |         76 |        484 |
| frontend\vendors\bower_components\bootstrap-colorpicker\dist                                               |          2 |        221 |         14 |          0 |        235 |
| frontend\vendors\bower_components\bootstrap-colorpicker                                                    |          2 |        221 |         14 |          0 |        235 |
| frontend\vendors\bower_components\bootstrap-colorpicker\dist\css                                           |          1 |        220 |         10 |          0 |        230 |
| backend\startup                                                                                            |          7 |        176 |         23 |         22 |        221 |
| frontend\vendors\bower_components\Clamp.js                                                                 |          1 |        166 |         68 |         36 |        270 |
| frontend\vendors\bower_components\datatables.net\js                                                        |          1 |        163 |          4 |          1 |        168 |
| frontend\vendors\bower_components\datatables.net                                                           |          1 |        163 |          4 |          1 |        168 |
| frontend\vendors\bower_components\flot.orderbars\js                                                        |          1 |        134 |         32 |         35 |        201 |
| frontend\vendors\bower_components\flot.orderbars                                                           |          1 |        134 |         32 |         35 |        201 |
| frontend\layout\login                                                                                      |          4 |        115 |          3 |          6 |        124 |
| backend\models                                                                                             |          2 |        103 |         53 |         18 |        174 |
| backend\demo\css                                                                                           |          1 |         83 |          0 |         19 |        102 |
| frontend\demo\css                                                                                          |          1 |         83 |          0 |         19 |        102 |
| frontend\js                                                                                                |          2 |         63 |         14 |          8 |         85 |
| frontend\vendors\bower_components\datatables.net-buttons\js                                                |          3 |         60 |          4 |          3 |         67 |
